initial leftsum: 131072
i: 16110, data[i]: 512, leftsum = 130560, rightSum = 512
i: 15098, data[i]: 0, leftsum = 114143, rightSum = 16929
i: 15097, data[i]: 1, leftsum = 114142, rightSum = 16930
i: 15096, data[i]: 1, leftsum = 114141, rightSum = 16931
i: 15095, data[i]: 0, leftsum = 114141, rightSum = 16931
i: 15094, data[i]: 0, leftsum = 114141, rightSum = 16931
i: 15093, data[i]: 1, leftsum = 114140, rightSum = 16932
i: 15092, data[i]: 0, leftsum = 114140, rightSum = 16932
i: 15091, data[i]: 0, leftsum = 114140, rightSum = 16932
i: 15090, data[i]: 0, leftsum = 114140, rightSum = 16932
i: 15089, data[i]: 0, leftsum = 114140, rightSum = 16932
i: 15088, data[i]: 0, leftsum = 114140, rightSum = 16932
i: 15087, data[i]: 0, leftsum = 114140, rightSum = 16932
i: 15086, data[i]: 1, leftsum = 114139, rightSum = 16933
i: 15085, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15084, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15083, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15082, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15081, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15080, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15079, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15078, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15077, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15076, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15075, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15074, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15073, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15072, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15071, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15070, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15069, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15068, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15067, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15066, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15065, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15064, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15063, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15062, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15061, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15060, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15059, data[i]: 0, leftsum = 114139, rightSum = 16933
i: 15058, data[i]: 1, leftsum = 114138, rightSum = 16934
i: 15057, data[i]: 0, leftsum = 114138, rightSum = 16934
i: 15056, data[i]: 0, leftsum = 114138, rightSum = 16934
i: 15055, data[i]: 0, leftsum = 114138, rightSum = 16934
i: 15054, data[i]: 0, leftsum = 114138, rightSum = 16934
i: 15053, data[i]: 0, leftsum = 114138, rightSum = 16934
i: 15052, data[i]: 0, leftsum = 114138, rightSum = 16934
i: 15051, data[i]: 0, leftsum = 114138, rightSum = 16934
i: 15050, data[i]: 0, leftsum = 114138, rightSum = 16934
i: 15049, data[i]: 0, leftsum = 114138, rightSum = 16934
i: 15048, data[i]: 0, leftsum = 114138, rightSum = 16934
i: 15047, data[i]: 0, leftsum = 114138, rightSum = 16934
i: 15046, data[i]: 1, leftsum = 114137, rightSum = 16935
i: 15045, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15044, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15043, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15042, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15041, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15040, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15039, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15038, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15037, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15036, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15035, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15034, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15033, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15032, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15031, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15030, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15029, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15028, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15027, data[i]: 0, leftsum = 114137, rightSum = 16935
i: 15026, data[i]: 1, leftsum = 114136, rightSum = 16936
i: 15025, data[i]: 0, leftsum = 114136, rightSum = 16936
i: 15024, data[i]: 0, leftsum = 114136, rightSum = 16936
i: 15023, data[i]: 0, leftsum = 114136, rightSum = 16936
i: 15022, data[i]: 0, leftsum = 114136, rightSum = 16936
i: 15021, data[i]: 0, leftsum = 114136, rightSum = 16936
i: 15020, data[i]: 0, leftsum = 114136, rightSum = 16936
i: 15019, data[i]: 1, leftsum = 114135, rightSum = 16937
i: 15018, data[i]: 0, leftsum = 114135, rightSum = 16937
i: 15017, data[i]: 0, leftsum = 114135, rightSum = 16937
i: 15016, data[i]: 0, leftsum = 114135, rightSum = 16937
i: 15015, data[i]: 0, leftsum = 114135, rightSum = 16937
i: 15014, data[i]: 1, leftsum = 114134, rightSum = 16938
i: 15013, data[i]: 0, leftsum = 114134, rightSum = 16938
i: 15012, data[i]: 0, leftsum = 114134, rightSum = 16938
i: 15011, data[i]: 0, leftsum = 114134, rightSum = 16938
i: 15010, data[i]: 1, leftsum = 114133, rightSum = 16939
i: 15009, data[i]: 1, leftsum = 114132, rightSum = 16940
i: 15008, data[i]: 0, leftsum = 114132, rightSum = 16940
i: 15007, data[i]: 0, leftsum = 114132, rightSum = 16940
i: 15006, data[i]: 0, leftsum = 114132, rightSum = 16940
i: 15005, data[i]: 0, leftsum = 114132, rightSum = 16940
i: 15004, data[i]: 0, leftsum = 114132, rightSum = 16940
i: 15003, data[i]: 0, leftsum = 114132, rightSum = 16940
i: 15002, data[i]: 0, leftsum = 114132, rightSum = 16940
i: 15001, data[i]: 0, leftsum = 114132, rightSum = 16940
i: 15000, data[i]: 0, leftsum = 114132, rightSum = 16940
i: 14999, data[i]: 0, leftsum = 114132, rightSum = 16940
i: 14998, data[i]: 0, leftsum = 114132, rightSum = 16940
i: 14997, data[i]: 0, leftsum = 114132, rightSum = 16940
i: 14996, data[i]: 1, leftsum = 114131, rightSum = 16941
i: 14995, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14994, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14993, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14992, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14991, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14990, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14989, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14988, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14987, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14986, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14985, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14984, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14983, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14982, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14981, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14980, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14979, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14978, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14977, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14976, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14975, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14974, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14973, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14972, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14971, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14970, data[i]: 0, leftsum = 114131, rightSum = 16941
i: 14969, data[i]: 1, leftsum = 114130, rightSum = 16942
i: 14968, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14967, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14966, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14965, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14964, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14963, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14962, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14961, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14960, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14959, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14958, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14957, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14956, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14955, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14954, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14953, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14952, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14951, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14950, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14949, data[i]: 0, leftsum = 114130, rightSum = 16942
i: 14948, data[i]: 1, leftsum = 114129, rightSum = 16943
i: 14947, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14946, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14945, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14944, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14943, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14942, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14941, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14940, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14939, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14938, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14937, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14936, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14935, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14934, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14933, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14932, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14931, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14930, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14929, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14928, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14927, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14926, data[i]: 0, leftsum = 114129, rightSum = 16943
i: 14925, data[i]: 1, leftsum = 114128, rightSum = 16944
i: 14924, data[i]: 0, leftsum = 114128, rightSum = 16944
i: 14923, data[i]: 0, leftsum = 114128, rightSum = 16944
i: 14922, data[i]: 0, leftsum = 114128, rightSum = 16944
i: 14921, data[i]: 1, leftsum = 114127, rightSum = 16945
i: 14920, data[i]: 1, leftsum = 114126, rightSum = 16946
i: 14919, data[i]: 2, leftsum = 114124, rightSum = 16948
i: 14918, data[i]: 4, leftsum = 114120, rightSum = 16952
i: 14917, data[i]: 1, leftsum = 114119, rightSum = 16953
i: 14916, data[i]: 1, leftsum = 114118, rightSum = 16954
i: 14915, data[i]: 0, leftsum = 114118, rightSum = 16954
i: 14914, data[i]: 1, leftsum = 114117, rightSum = 16955
i: 14913, data[i]: 0, leftsum = 114117, rightSum = 16955
i: 14912, data[i]: 0, leftsum = 114117, rightSum = 16955
i: 14911, data[i]: 1, leftsum = 114116, rightSum = 16956
i: 14910, data[i]: 0, leftsum = 114116, rightSum = 16956
i: 14909, data[i]: 0, leftsum = 114116, rightSum = 16956
i: 14908, data[i]: 2, leftsum = 114114, rightSum = 16958
i: 14907, data[i]: 1, leftsum = 114113, rightSum = 16959
i: 14906, data[i]: 1, leftsum = 114112, rightSum = 16960
i: 14905, data[i]: 4, leftsum = 114108, rightSum = 16964
i: 14904, data[i]: 4, leftsum = 114104, rightSum = 16968
i: 14903, data[i]: 2, leftsum = 114102, rightSum = 16970
i: 14902, data[i]: 1, leftsum = 114101, rightSum = 16971
i: 14901, data[i]: 1, leftsum = 114100, rightSum = 16972
i: 14900, data[i]: 2, leftsum = 114098, rightSum = 16974
i: 14899, data[i]: 2, leftsum = 114096, rightSum = 16976
i: 14898, data[i]: 4, leftsum = 114092, rightSum = 16980
i: 14897, data[i]: 1, leftsum = 114091, rightSum = 16981
i: 14896, data[i]: 1, leftsum = 114090, rightSum = 16982
i: 14895, data[i]: 2, leftsum = 114088, rightSum = 16984
i: 14894, data[i]: 8, leftsum = 114080, rightSum = 16992
i: 14893, data[i]: 16, leftsum = 114064, rightSum = 17008
i: 14892, data[i]: 16, leftsum = 114048, rightSum = 17024
i: 14891, data[i]: 32, leftsum = 114016, rightSum = 17056
i: 14890, data[i]: 16, leftsum = 114000, rightSum = 17072
i: 14889, data[i]: 8, leftsum = 113992, rightSum = 17080
i: 14888, data[i]: 8, leftsum = 113984, rightSum = 17088
i: 14887, data[i]: 4, leftsum = 113980, rightSum = 17092
i: 14886, data[i]: 4, leftsum = 113976, rightSum = 17096
i: 14885, data[i]: 8, leftsum = 113968, rightSum = 17104
i: 14884, data[i]: 8, leftsum = 113960, rightSum = 17112
i: 14883, data[i]: 8, leftsum = 113952, rightSum = 17120
i: 14882, data[i]: 1, leftsum = 113951, rightSum = 17121
i: 14881, data[i]: 1, leftsum = 113950, rightSum = 17122
i: 14880, data[i]: 1, leftsum = 113949, rightSum = 17123
i: 14879, data[i]: 1, leftsum = 113948, rightSum = 17124
i: 14878, data[i]: 2, leftsum = 113946, rightSum = 17126
i: 14877, data[i]: 2, leftsum = 113944, rightSum = 17128
i: 14876, data[i]: 1, leftsum = 113943, rightSum = 17129
i: 14875, data[i]: 1, leftsum = 113942, rightSum = 17130
i: 14874, data[i]: 1, leftsum = 113941, rightSum = 17131
i: 14873, data[i]: 1, leftsum = 113940, rightSum = 17132
i: 14872, data[i]: 2, leftsum = 113938, rightSum = 17134
i: 14871, data[i]: 1, leftsum = 113937, rightSum = 17135
i: 14870, data[i]: 1, leftsum = 113936, rightSum = 17136
i: 14869, data[i]: 1, leftsum = 113935, rightSum = 17137
i: 14868, data[i]: 1, leftsum = 113934, rightSum = 17138
i: 14867, data[i]: 2, leftsum = 113932, rightSum = 17140
i: 14866, data[i]: 4, leftsum = 113928, rightSum = 17144
i: 14865, data[i]: 4, leftsum = 113924, rightSum = 17148
i: 14864, data[i]: 4, leftsum = 113920, rightSum = 17152
i: 14863, data[i]: 8, leftsum = 113912, rightSum = 17160
i: 14862, data[i]: 8, leftsum = 113904, rightSum = 17168
i: 14861, data[i]: 16, leftsum = 113888, rightSum = 17184
i: 14860, data[i]: 32, leftsum = 113856, rightSum = 17216
i: 14859, data[i]: 2, leftsum = 113854, rightSum = 17218
i: 14858, data[i]: 1, leftsum = 113853, rightSum = 17219
i: 14857, data[i]: 0, leftsum = 113853, rightSum = 17219
i: 14856, data[i]: 1, leftsum = 113852, rightSum = 17220
i: 14855, data[i]: 0, leftsum = 113852, rightSum = 17220
i: 14854, data[i]: 0, leftsum = 113852, rightSum = 17220
i: 14853, data[i]: 0, leftsum = 113852, rightSum = 17220
i: 14852, data[i]: 1, leftsum = 113851, rightSum = 17221
i: 14851, data[i]: 1, leftsum = 113850, rightSum = 17222
i: 14850, data[i]: 2, leftsum = 113848, rightSum = 17224
i: 14849, data[i]: 1, leftsum = 113847, rightSum = 17225
i: 14848, data[i]: 1, leftsum = 113846, rightSum = 17226
i: 14847, data[i]: 1, leftsum = 113845, rightSum = 17227
i: 14846, data[i]: 1, leftsum = 113844, rightSum = 17228
i: 14845, data[i]: 0, leftsum = 113844, rightSum = 17228
i: 14844, data[i]: 0, leftsum = 113844, rightSum = 17228
i: 14843, data[i]: 0, leftsum = 113844, rightSum = 17228
i: 14842, data[i]: 0, leftsum = 113844, rightSum = 17228
i: 14841, data[i]: 0, leftsum = 113844, rightSum = 17228
i: 14840, data[i]: 0, leftsum = 113844, rightSum = 17228
i: 14839, data[i]: 0, leftsum = 113844, rightSum = 17228
i: 14838, data[i]: 0, leftsum = 113844, rightSum = 17228
i: 14837, data[i]: 0, leftsum = 113844, rightSum = 17228
i: 14836, data[i]: 0, leftsum = 113844, rightSum = 17228
i: 14835, data[i]: 0, leftsum = 113844, rightSum = 17228
i: 14834, data[i]: 1, leftsum = 113843, rightSum = 17229
i: 14833, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14832, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14831, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14830, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14829, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14828, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14827, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14826, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14825, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14824, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14823, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14822, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14821, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14820, data[i]: 0, leftsum = 113843, rightSum = 17229
i: 14819, data[i]: 1, leftsum = 113842, rightSum = 17230
i: 14818, data[i]: 1, leftsum = 113841, rightSum = 17231
i: 14817, data[i]: 1, leftsum = 113840, rightSum = 17232
i: 14816, data[i]: 0, leftsum = 113840, rightSum = 17232
i: 14815, data[i]: 0, leftsum = 113840, rightSum = 17232
i: 14814, data[i]: 0, leftsum = 113840, rightSum = 17232
i: 14813, data[i]: 0, leftsum = 113840, rightSum = 17232
i: 14812, data[i]: 0, leftsum = 113840, rightSum = 17232
i: 14811, data[i]: 4, leftsum = 113836, rightSum = 17236
i: 14810, data[i]: 1, leftsum = 113835, rightSum = 17237
i: 14809, data[i]: 0, leftsum = 113835, rightSum = 17237
i: 14808, data[i]: 1, leftsum = 113834, rightSum = 17238
i: 14807, data[i]: 1, leftsum = 113833, rightSum = 17239
i: 14806, data[i]: 0, leftsum = 113833, rightSum = 17239
i: 14805, data[i]: 1, leftsum = 113832, rightSum = 17240
i: 14804, data[i]: 4, leftsum = 113828, rightSum = 17244
i: 14803, data[i]: 1, leftsum = 113827, rightSum = 17245
i: 14802, data[i]: 0, leftsum = 113827, rightSum = 17245
i: 14801, data[i]: 1, leftsum = 113826, rightSum = 17246
i: 14800, data[i]: 2, leftsum = 113824, rightSum = 17248
i: 14799, data[i]: 1, leftsum = 113823, rightSum = 17249
i: 14798, data[i]: 0, leftsum = 113823, rightSum = 17249
i: 14797, data[i]: 0, leftsum = 113823, rightSum = 17249
i: 14796, data[i]: 1, leftsum = 113822, rightSum = 17250
i: 14795, data[i]: 0, leftsum = 113822, rightSum = 17250
i: 14794, data[i]: 0, leftsum = 113822, rightSum = 17250
i: 14793, data[i]: 0, leftsum = 113822, rightSum = 17250
i: 14792, data[i]: 0, leftsum = 113822, rightSum = 17250
i: 14791, data[i]: 0, leftsum = 113822, rightSum = 17250
i: 14790, data[i]: 0, leftsum = 113822, rightSum = 17250
i: 14789, data[i]: 0, leftsum = 113822, rightSum = 17250
i: 14788, data[i]: 0, leftsum = 113822, rightSum = 17250
i: 14787, data[i]: 0, leftsum = 113822, rightSum = 17250
i: 14786, data[i]: 1, leftsum = 113821, rightSum = 17251
i: 14785, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14784, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14783, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14782, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14781, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14780, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14779, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14778, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14777, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14776, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14775, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14774, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14773, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14772, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14771, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14770, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14769, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14768, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14767, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14766, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14765, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14764, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14763, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14762, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14761, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14760, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14759, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14758, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14757, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14756, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14755, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14754, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14753, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14752, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14751, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14750, data[i]: 0, leftsum = 113821, rightSum = 17251
i: 14749, data[i]: 1, leftsum = 113820, rightSum = 17252
i: 14748, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14747, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14746, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14745, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14744, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14743, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14742, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14741, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14740, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14739, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14738, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14737, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14736, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14735, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14734, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14733, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14732, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14731, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14730, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14729, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14728, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14727, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14726, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14725, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14724, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14723, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14722, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14721, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14720, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14719, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14718, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14717, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14716, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14715, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14714, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14713, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14712, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14711, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14710, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14709, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14708, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14707, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14706, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14705, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14704, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14703, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14702, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14701, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14700, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14699, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14698, data[i]: 0, leftsum = 113820, rightSum = 17252
i: 14697, data[i]: 1, leftsum = 113819, rightSum = 17253
i: 14696, data[i]: 1, leftsum = 113818, rightSum = 17254
i: 14695, data[i]: 0, leftsum = 113818, rightSum = 17254
i: 14694, data[i]: 0, leftsum = 113818, rightSum = 17254
i: 14693, data[i]: 0, leftsum = 113818, rightSum = 17254
i: 14692, data[i]: 0, leftsum = 113818, rightSum = 17254
i: 14691, data[i]: 0, leftsum = 113818, rightSum = 17254
i: 14690, data[i]: 0, leftsum = 113818, rightSum = 17254
i: 14689, data[i]: 0, leftsum = 113818, rightSum = 17254
i: 14688, data[i]: 0, leftsum = 113818, rightSum = 17254
i: 14687, data[i]: 1, leftsum = 113817, rightSum = 17255
i: 14686, data[i]: 0, leftsum = 113817, rightSum = 17255
i: 14685, data[i]: 1, leftsum = 113816, rightSum = 17256
i: 14684, data[i]: 0, leftsum = 113816, rightSum = 17256
i: 14683, data[i]: 0, leftsum = 113816, rightSum = 17256
i: 14682, data[i]: 0, leftsum = 113816, rightSum = 17256
i: 14681, data[i]: 0, leftsum = 113816, rightSum = 17256
i: 14680, data[i]: 0, leftsum = 113816, rightSum = 17256
i: 14679, data[i]: 0, leftsum = 113816, rightSum = 17256
i: 14678, data[i]: 8, leftsum = 113808, rightSum = 17264
i: 14677, data[i]: 2, leftsum = 113806, rightSum = 17266
i: 14676, data[i]: 2, leftsum = 113804, rightSum = 17268
i: 14675, data[i]: 1, leftsum = 113803, rightSum = 17269
i: 14674, data[i]: 1, leftsum = 113802, rightSum = 17270
i: 14673, data[i]: 2, leftsum = 113800, rightSum = 17272
i: 14672, data[i]: 1, leftsum = 113799, rightSum = 17273
i: 14671, data[i]: 0, leftsum = 113799, rightSum = 17273
i: 14670, data[i]: 1, leftsum = 113798, rightSum = 17274
i: 14669, data[i]: 0, leftsum = 113798, rightSum = 17274
i: 14668, data[i]: 2, leftsum = 113796, rightSum = 17276
i: 14667, data[i]: 2, leftsum = 113794, rightSum = 17278
i: 14666, data[i]: 2, leftsum = 113792, rightSum = 17280
i: 14665, data[i]: 1, leftsum = 113791, rightSum = 17281
i: 14664, data[i]: 0, leftsum = 113791, rightSum = 17281
i: 14663, data[i]: 1, leftsum = 113790, rightSum = 17282
